Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV02.4SH3,small car,6,25,35,29,7,Yes,309
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV02.4SH3,small car,6,25,35,29,7,Yes,309
ACURA MDX,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV03.0HH3,small SUV,6,26,27,27,6,No,329
ACURA MDX,3,6,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.0HH3,small SUV,6,26,27,27,6,No,329
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV03.5VH3,small SUV,6,19,27,22,5,No,404
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV03.5VH3,small SUV,6,20,27,23,5,No,391
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5VH3,small SUV,6,19,27,22,5,No,404
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5VH3,small SUV,6,20,27,23,5,No,391
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV03.5VH3,small SUV,6,18,26,21,4,No,424
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV03.5VH3,small SUV,6,19,26,22,5,No,404
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5VH3,small SUV,6,18,26,21,4,No,424
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5VH3,small SUV,6,19,26,22,5,No,404
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV03.5KH4,small car,6,21,22,21,4,No,420
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5KH4,small car,6,21,22,21,4,No,420
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXT03.5EV3,small SUV,6,20,28,23,5,No,386
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,HHNXT03.5EV3,small SUV,6,20,28,23,5,No,386
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXT03.5EV3,small SUV,6,19,27,22,5,No,402
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,HHNXT03.5EV3,small SUV,6,19,27,22,5,No,402
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,HHNXV03.5LK3,midsize car,8,29,30,29,7,Yes,306
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HHNXV03.5LK3,midsize car,8,29,30,29,7,Yes,306
ACURA RLX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5NA4,midsize car,6,20,30,23,5,No,380
ACURA RLX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,HHNXV03.5NA4,midsize car,6,20,30,23,5,No,380
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV02.4TA3,small car,6,24,35,28,6,No,321
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,HHNXV02.4TA3,small car,6,24,35,28,6,No,321
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5MA3,small car,6,21,34,25,5,No,358
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,U2,California LEV-II ULEV,HHNXV03.5MA3,small car,6,21,34,25,5,No,358
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV03.5MA3,small car,6,21,31,25,5,No,358
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,U2,California LEV-II ULEV,HHNXV03.5MA3,small car,6,21,31,25,5,No,358
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,CA,L2,California LEV-II LEV,HCRXV01.85P0,small car,5,24,34,28,6,No,317
